                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1826,                0.82226,                  1.404,                0.87914,                0.80151,                0.87531,                0.53924,                 1.3006,                0.64254,                 1.5197,               0.006634,               0.006634,               0.006634
                     37,                 1.1785,                0.81773,                 1.3988,                0.84816,                0.85606,                0.89029,                0.56073,                 1.3038,                0.63969,                 1.5124,               0.006535,               0.006535,               0.006535
                     38,                 1.1546,                  0.799,                 1.3894,                0.87021,                0.82651,                0.88086,                0.56506,                 1.2873,                0.62396,                  1.497,               0.006436,               0.006436,               0.006436
                     39,                 1.1541,                0.78198,                 1.3873,                0.83878,                0.84484,                0.88869,                0.56516,                 1.2743,                0.61943,                 1.4862,               0.006337,               0.006337,               0.006337
                     40,                 1.1404,                 0.7721,                 1.3766,                0.85651,                0.83924,                 0.8973,                0.56778,                 1.2676,                0.61439,                 1.4818,               0.006238,               0.006238,               0.006238
                     41,                 1.1294,                0.75658,                 1.3582,                0.87981,                0.83278,                0.89357,                 0.5663,                 1.2697,                  0.612,                 1.4922,               0.006139,               0.006139,               0.006139
                     42,                 1.1267,                0.76525,                 1.3641,                0.86833,                0.84305,                0.89608,                0.57901,                 1.2488,                0.60244,                 1.4676,                0.00604,                0.00604,                0.00604
                     43,                 1.1184,                0.75208,                  1.354,                0.90074,                0.82488,                0.90089,                0.57693,                 1.2515,                0.59969,                 1.4658,               0.005941,               0.005941,               0.005941
                     44,                 1.1191,                  0.746,                 1.3494,                 0.8776,                0.83883,                0.90467,                0.57769,                 1.2523,                0.59358,                 1.4646,               0.005842,               0.005842,               0.005842
                     45,                 1.0977,                0.73243,                 1.3317,                0.87075,                0.83372,                0.89961,                0.57858,                  1.244,                0.59925,                 1.4566,               0.005743,               0.005743,               0.005743
                     46,                 1.0946,                0.72554,                  1.328,                0.86167,                0.85549,                0.90318,                0.58558,                 1.2366,                0.59646,                 1.4506,               0.005644,               0.005644,               0.005644
                     47,                 1.0909,                0.72528,                 1.3277,                0.86278,                0.84328,                0.89657,                0.58772,                 1.2302,                0.59301,                 1.4498,               0.005545,               0.005545,               0.005545
                     48,                   1.08,                0.71332,                 1.3214,                0.87213,                0.84588,                0.89811,                0.58681,                 1.2301,                0.58327,                 1.4522,               0.005446,               0.005446,               0.005446
                     49,                 1.0752,                0.70433,                 1.3083,                0.86732,                0.85128,                0.90298,                0.58636,                 1.2341,                0.57833,                 1.4564,               0.005347,               0.005347,               0.005347
                     50,                 1.0625,                0.69797,                 1.3005,                0.89008,                0.83946,                0.90294,                0.58932,                 1.2265,                0.57884,                 1.4484,               0.005248,               0.005248,               0.005248
                     51,                 1.0575,                0.69259,                 1.3088,                0.86559,                0.85824,                0.90055,                0.59292,                 1.2218,                0.58173,                  1.459,               0.005149,               0.005149,               0.005149
                     52,                 1.0424,                0.67882,                 1.2911,                0.83506,                0.85943,                0.89665,                0.58659,                 1.2173,                0.57549,                 1.4531,                0.00505,                0.00505,                0.00505
                     53,                 1.0367,                0.67165,                 1.2926,                0.85444,                0.84166,                0.89153,                0.58562,                  1.216,                0.57038,                 1.4544,               0.004951,               0.004951,               0.004951
                     54,                 1.0338,                0.66459,                 1.2797,                0.86568,                 0.8354,                0.89727,                0.58624,                 1.2147,                0.57351,                 1.4414,               0.004852,               0.004852,               0.004852
                     55,                 1.0319,                0.67094,                 1.2826,                0.85102,                0.86907,                0.90148,                0.58985,                 1.2079,                 0.5655,                 1.4374,               0.004753,               0.004753,               0.004753
                     56,                 1.0069,                0.64576,                 1.2622,                0.87852,                0.84107,                0.90121,                0.59007,                 1.2071,                0.56179,                 1.4375,               0.004654,               0.004654,               0.004654
                     57,                 1.0053,                0.64953,                   1.26,                0.85537,                0.86376,                 0.9051,                0.59914,                 1.2073,                 0.5616,                 1.4427,               0.004555,               0.004555,               0.004555
                     58,                 1.0054,                0.64573,                 1.2528,                0.86647,                0.88405,                0.91331,                0.60247,                 1.1935,                0.55791,                 1.4331,               0.004456,               0.004456,               0.004456
                     59,                0.99668,                0.63502,                 1.2505,                0.85836,                0.88226,                0.91048,                0.59658,                 1.1899,                0.55979,                 1.4244,               0.004357,               0.004357,               0.004357
                     60,                0.98366,                0.62997,                 1.2482,                0.86151,                0.87372,                0.90876,                0.60389,                 1.1928,                0.56549,                 1.4291,               0.004258,               0.004258,               0.004258
